month,korea_base_rate_percent,us_steel_ppi_index,us_fed_target_rate_percent
2021-07,0.5,380.189,0.125
2021-08,0.75,399.074,0.125
2021-09,0.75,418.472,0.125
2021-10,0.75,435.669,0.125
2021-11,1,448.746,0.125
2021-12,1,449.711,0.125
2022-01,1.25,441.497,0.125
2022-02,1.25,400.067,0.125
2022-03,1.25,376.596,0.375
2022-04,1.5,386.663,0.375
2022-05,1.75,427.400,0.875
2022-06,1.75,420.183,1.625
2022-07,2.25,404.112,2.375
2022-08,2.5,384.885,2.375
2022-09,2.5,357.587,3.125
2022-10,3,337.206,3.125
2022-11,3.25,326.698,3.875
2022-12,3.25,315.630,4.375
2023-01,3.5,308.022,4.375
2023-02,3.5,315.255,4.625
2023-03,3.5,318.190,4.875
2023-04,3.5,329.705,4.875
2023-05,3.5,347.224,5.125
2023-06,3.5,345.801,5.125
2023-07,3.5,329.450,5.375
2023-08,3.5,322.940,5.375
2023-09,3.5,311.522,5.375
2023-10,3.5,304.112,5.375
2023-11,3.5,297.967,5.375
2023-12,3.5,305.125,5.375
2024-01,3.5,321.392,5.375
2024-02,3.5,332.520,5.375
2024-03,3.5,305.677,5.375
2024-04,3.5,297.573,5.375
2024-05,3.5,298.564,5.375
2024-06,3.5,293.269,5.375
2024-07,3.5,283.090,5.375
2024-08,3.5,275.280,5.375
2024-09,3.5,270.970,4.875
2024-10,3.25,273.422,4.875
2024-11,3,278.339,4.625
2024-12,3,266.511,4.375
2025-01,3,261.563,4.375
2025-02,2.75,268.865,4.375
2025-03,2.75,287.362,4.375
2025-04,2.75,303.829,4.375
2025-05,2.5,326.743,4.375
2025-06,2.5,309.231,4.375
2025-07,2.5,305.538,4.375
2025-08,2.5,308.772,4.375
2025-09,2.5,304.579,4.125
2025-10,2.5,300.665,3.875
2025-11,2.5,291.556,3.875
2025-12,2.5,312.410,3.625
2026-01,2.5,315.369,3.625
2026-02,2.5,325.105,3.625
2026-03,2.5,331.357,3.625
2026-04,2.5,341.281,3.625
2026-05,2.5,349.023,3.625
2026-06,2.5,361.439,3.625
2026-07,,,3.6250000000
